 0	 1.0	 0.0000	 1.000e+00	 1.2
 1	 0.9	 0.3090	 9.511e-01	 1.2
 2	 0.8	 0.5878	 8.090e-01	 1.2
 3	 0.7	 0.8090	 5.878e-01	 1.2
 4	 0.6	 0.9511	 3.090e-01	 1.2
 5	 0.5	 1.0000	 6.126e-17	 1.2
 6	 0.4	 0.9511	-3.090e-01	 1.2
 7	 0.3	 0.8090	-5.878e-01	 1.2
 8	 0.2	 0.5878	-8.090e-01	 1.2
 9	 0.1	 0.3090	-9.511e-01	 1.2
10	 0.0	 0.0000	-1.000e+00	 0.0
11	-0.1	-0.3090	-9.511e-01	-1.2
12	-0.2	-0.5878	-8.090e-01	-1.2
13	-0.3	-0.8090	-5.878e-01	-1.2
14	-0.4	-0.9511	-3.090e-01	-1.2
15	-0.5	-1.0000	-1.838e-16	-1.2
16	-0.6	-0.9511	 3.090e-01	-1.2
17	-0.7	-0.8090	 5.878e-01	-1.2
18	-0.8	-0.5878	 8.090e-01	-1.2
19	-0.9	-0.3090	 9.511e-01	-1.2
20	-1.0	 0.0000	 1.000e+00	-1.2
